Company_Phone_Number,Count
8772427372,9
9515021134,9
2396621442,9
8669920061,9
2032202064,9
8337331552,9
8888662290,9
3239222513,9
3126532073,9
8008745582,9
2312774710,9
6592207086,9
9047016959,9
7473182568,9
6469211504,9
2064570560,9
4805366524,9
4452021560,9
3127414441,9
8885315268,9
9857969376,9
6505935590,9
4805718135,9
8437021993,9
2312813933,9
8433057064,9
7066406518,9
7209617227,9
2623189717,9
3602266698,9
9132438017,9
2253197176,9
2254009930,9
2252090423,9
2313973492,8
7022761192,8
2146462198,8
8003066059,8
5023011970,8
2254812821,8
6029357174,8
8882497835,8
8664192780,8
8662094527,8
5153354950,8
5706055648,8
8884314549,8
6092620361,8
8669361885,8
7312515593,8
7752413011,8
3854163458,8
3173160421,8
8006334227,8
5103922618,8
6109841486,8
4075889971,8
8442568101,8
4692728876,8
2312511469,8
2312511684,8
4255473827,8
5128662073,8
8022178268,8
9498550450,8
5153354932,8
2312511171,8
5172084685,8
8664778004,8
8089400989,8
7372081081,8
2029708601,8
2409651641,8
5752373493,8
2137828608,8
2312511719,8
8474969111,8
3512129325,8
9592031143,8
5623644317,8
2314004270,8
2482096217,8
6292065687,8
5869925531,8
3603029575,8
7722498712,8
2062226659,8
5512588496,8
2312511164,8
5595788145,8
6506752681,8
5628004039,8
2018015626,8
8883731969,8
3365105279,8
8043881182,8
8506888985,8
3016733767,8
7242098263,8
8885317285,8
2029902266,8
2136522379,8
8437021996,8
5185131756,8
8775942793,8
2762084646,8
5164001936,8
2312511450,8
9282646589,8
9095161594,8
5625345141,8
4405774657,8
8634573707,8
3862437341,8
9179461773,8
2252095467,8
2623189517,8
8559730090,8
2762444595,8
2125403029,8
2097203536,8
5623122390,8
8884697989,8
3016733149,8
8146269447,8
8442651384,8
3073015452,8
2623189515,8
2092098947,8
3022012317,8
6062382281,8
4046895988,8
6235358158,8
2762463280,8
2312774718,8
5752374168,8
5024068930,8
8003575129,8
8653506742,8
2256953043,8
8184912517,8
8773684531,8
5625342547,8
2692336365,8
7145892600,8
9529524126,8
7372051476,8
3074815627,8
7712097114,8
7247823019,8
8006044213,8
7144522549,8
2312511442,8
8665197647,8
8887852471,8
